species,alat,energy,order_d,led,status
H,2.1399838867187597,-564489922.4284482,0,1804684.1481616397,False
H,2.1499838867187595,-467748843.48314935,0,7134165.787458767,False
H,2.1599838867187593,-403247306.5236952,0,-12196185.134875963,False
H,2.1699838867187595,-372152668.36564213,0,5306639.3644104395,False
H,2.1799838867187598,-340470765.79041535,0,6950479.040101369,False
H,2.1899838867187595,-312223026.3545646,0,-10331305.570531476,False
H,2.1999838867187593,-297606632.2033014,0,4334647.753828287,False
H,2.2099838867187596,-271291645.8298907,0,-1894517.104770725,False
H,2.2199838867187593,-234408843.4988398,0,4632615.509056369,False
H,2.2299838867187596,-188541828.72292852,0,-4110850.977981443,False
H,2.2399838867187594,-147094134.8918337,0,2789837.3630577796,False
H,2.2499838867187596,-107493532.21779084,0,-1692346.8691812106,False
H,2.2599838867187594,-75857133.60348293,0,221106.26993753636,False
H,2.2699838867187596,-50252370.46369369,0,820243.1568539242,False
H,2.2799838867187594,-30851073.94039485,0,-1113245.8159023188,False
H,2.2899838867187596,-18602837.283120953,0,458184.4452076231,False
H,2.2999838867187594,-10313556.907845795,0,24406.085685986985,False
H,2.3099838867187596,-5324907.292396314,0,-175565.1589062809,False
H,2.3199838867187594,-2765234.3052068725,0,74515.07452931552,False
H,2.3299838867187592,-1403118.6912033262,0,29964.829463790004,False
H,2.3399838867187595,-700767.0252407124,0,-21075.972742320315,False
H,2.3499838867187597,-366921.26492735546,0,39704.022078980764,False
H,2.3599838867187595,-177069.77384212665,0,-17857.718409679885,False
H,2.3699838867187593,-99903.15798836623,0,9682.752209650618,False
H,2.3799838867187595,-59090.133319998764,0,1761.8236833367228,False
H,2.3899838867187597,-40423.836199612226,0,-4989.542652246657,False
H,2.3999838867187595,-33725.3101405543,0,4664.697506502803,False
H,2.4099838867187593,-22272.563706912035,0,-89.16739411775566,False
H,2.4199838867187595,-12737.826426991835,0,-947.2285193346036,False
H,2.4299838867187598,-7199.363754302607,0,415.0818533011743,False
H,2.4399838867187595,-3676.481432262315,0,-399.1621448672678,False
H,2.4499838867187593,-1812.8966102055947,0,328.99129481508635,False
H,2.4599838867187596,-386.24672357670715,0,-25.733122379309293,False
H,2.46998388671876,296.9376368668537,0,-93.47877782670662,False
H,2.4799838867187596,375.18049394487787,0,23.20963820361634,False
H,2.4899838867187594,277.6617497785835,0,16.88385912485108,False
H,2.4999838867187596,163.34451883037693,0,10.717880547176232,False
H,2.5099838867187594,60.23295712555097,0,-13.823419456516465,False
H,2.5199838867187596,-33.32458299860885,0,7.295938340386191,False
H,2.5299838867187594,-84.32826960976679,0,8.368265232725552,False
H,2.539983886718759,-108.0673079196358,0,-16.709712601180478,False
H,2.5499838867187594,-124.34431024166034,0,11.88870834112208,False
H,2.5599838867187596,-107.26570459466299,0,-0.8913598615807885,True
H,2.5699838867187594,-85.50001030992749,0,-0.42951371164491664,True
H,2.5799838867187592,-70.94558798446612,0,-3.082082578623325,False
H,2.5899838867187595,-64.0787986505046,0,1.7742888791272406,False
H,2.5999838867187597,-56.53108604535152,0,-0.20615040636963755,True
H,2.6099838867187595,-49.58147208313833,0,0.20487555252910755,True
H,2.6199838867187593,-43.51082358005587,0,-0.1429861632986539,True
